2019-05-17 09:34:04.679+01:00 [1636:001] [INFO] OnFirstLaunch ['/InvokerPRAID:' 'App']
2019-05-17 09:34:04.770+01:00 [1636:001] [INFO] FormMainWindow.OnLoad
2019-05-17 09:34:04.812+01:00 [1636:001] [INFO] SystemTray Created
2019-05-17 09:34:05.074+01:00 [1636:012] [INFO] OnNotificationReceived [Module_SystemTray]
2019-05-17 09:34:05.914+01:00 [1636:011] [INFO] OnNotificationReceived [Module_IdleState]
2019-05-17 09:34:05.954+01:00 [1636:011] [INFO] IdleStateModule: EnableIdleStateDetection = True
2019-05-17 09:35:05.965+01:00 [1636:006] [INFO] IdleStateModule: state changed to Active
2019-05-17 09:35:06.184+01:00 [1636:011] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 09:36:46.119+01:00 [1636:011] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 09:38:26.166+01:00 [1636:020] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 09:39:06.016+01:00 [1636:019] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 09:39:06.171+01:00 [1636:020] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 09:42:06.045+01:00 [1636:025] [INFO] IdleStateModule: state changed to Active
2019-05-17 09:42:06.266+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 09:43:46.233+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 09:45:26.302+01:00 [1636:020] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 09:46:06.107+01:00 [1636:027] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 09:46:06.270+01:00 [1636:020] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 09:58:06.224+01:00 [1636:006] [INFO] IdleStateModule: state changed to Active
2019-05-17 09:58:06.625+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 09:59:46.453+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:01:26.376+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:03:06.400+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:04:46.646+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:06:26.466+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:08:06.457+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:09:46.472+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:11:26.601+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:13:06.497+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:14:46.526+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:16:26.510+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:18:06.520+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:19:46.542+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:21:26.557+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:23:06.586+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:24:46.566+01:00 [1636:012] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:26:06.572+01:00 [1636:010] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 10:26:06.686+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 10:31:06.627+01:00 [1636:035] [INFO] IdleStateModule: state changed to Active
2019-05-17 10:31:06.776+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:32:46.795+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:34:06.653+01:00 [1636:033] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 10:34:06.817+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 10:35:06.664+01:00 [1636:022] [INFO] IdleStateModule: state changed to Active
2019-05-17 10:35:06.831+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:36:46.856+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:38:26.858+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:40:06.875+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:41:06.744+01:00 [1636:022] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 10:41:06.883+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 10:47:06.795+01:00 [1636:019] [INFO] IdleStateModule: state changed to Active
2019-05-17 10:47:06.976+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:48:46.933+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:50:26.968+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:52:06.980+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:53:46.968+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:55:27.024+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:56:06.901+01:00 [1636:011] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 10:56:07.038+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 10:58:06.917+01:00 [1636:046] [INFO] IdleStateModule: state changed to Active
2019-05-17 10:58:07.127+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 10:59:47.043+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:01:06.949+01:00 [1636:048] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 11:01:07.083+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 11:03:06.978+01:00 [1636:045] [INFO] IdleStateModule: state changed to Active
2019-05-17 11:03:07.106+01:00 [1636:050] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:04:47.124+01:00 [1636:050] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:06:07.012+01:00 [1636:043] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 11:06:07.157+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 11:11:07.064+01:00 [1636:040] [INFO] IdleStateModule: state changed to Active
2019-05-17 11:11:07.196+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:12:47.247+01:00 [1636:047] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:14:27.215+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:16:07.216+01:00 [1636:050] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:17:47.239+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:19:27.418+01:00 [1636:050] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:21:07.217+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:22:47.228+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:24:27.327+01:00 [1636:050] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:26:07.249+01:00 [1636:050] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:27:07.151+01:00 [1636:008] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 11:27:07.303+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 11:52:07.284+01:00 [1636:011] [INFO] IdleStateModule: state changed to Active
2019-05-17 11:52:07.434+01:00 [1636:039] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:53:47.501+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:55:07.313+01:00 [1636:029] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 11:55:07.455+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 11:57:07.319+01:00 [1636:038] [INFO] IdleStateModule: state changed to Active
2019-05-17 11:57:07.474+01:00 [1636:039] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 11:58:47.501+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:00:27.475+01:00 [1636:015] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:01:07.366+01:00 [1636:019] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 12:01:07.508+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 12:20:07.576+01:00 [1636:055] [INFO] IdleStateModule: state changed to Active
2019-05-17 12:20:07.718+01:00 [1636:015] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:21:47.734+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:23:27.770+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:25:07.753+01:00 [1636:015] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:26:47.741+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:28:27.750+01:00 [1636:015] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:30:07.745+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:31:47.775+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:33:27.771+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:35:07.813+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:36:47.791+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:38:07.698+01:00 [1636:030] [INFO] IdleStateModule: state changed to Inactive
2019-05-17 12:38:07.845+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = True
2019-05-17 12:41:07.719+01:00 [1636:016] [INFO] IdleStateModule: state changed to Active
2019-05-17 12:41:07.851+01:00 [1636:036] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:42:47.870+01:00 [1636:034] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:44:27.894+01:00 [1636:015] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:46:07.903+01:00 [1636:034] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:47:47.879+01:00 [1636:034] [INFO] IdleStateModule: sent isIdle = False
2019-05-17 12:49:27.930+01:00 [1636:034] [INFO] IdleStateModule: sent isIdle = False
2019-05-20 11:52:57.755+01:00 [1636:011] [INFO] IdleStateModule: state changed to Inactive
2019-05-20 11:52:57.805+01:00 [1636:015] [INFO] IdleStateModule: sent isIdle = True
2019-05-20 11:53:57.766+01:00 [1636:007] [INFO] IdleStateModule: state changed to Active
2019-05-20 11:53:57.860+01:00 [1636:015] [INFO] IdleStateModule: sent isIdle = False
2019-05-20 11:55:37.977+01:00 [1636:034] [INFO] IdleStateModule: sent isIdle = False
2019-05-20 11:57:18.084+01:00 [1636:015] [INFO] IdleStateModule: sent isIdle = False
2019-05-20 11:58:58.046+01:00 [1636:015] [INFO] IdleStateModule: sent isIdle = False
